task_id,source_system,department,asset_id,asset_type,corridor_id,section_id,start_km,end_km,defect_type,defect_severity,safety_criticality,failure_probability,asset_importance,operational_impact,detection_date,due_date,overdue_days,estimated_duration_minutes,minimum_block_minutes,disconnection_type,required_team,required_personnel,required_equipment,preferred_start_time,preferred_end_time,dependency_task_ids,compatible_task_ids,weather_sensitive,status,priority_score,priority_level,synthetic_data,priority_breakdown,priority_explanation
TASK-0011,SMMS,Signal & Telecommunication,ASSET-SEC-15-0011,Communication Cable,COR-05,SEC-15,47.77,48.9,Communication link degradation,3,4,0.574,4,2,2026-06-23,2026-07-11,48,45,90,Signalling,SNT-Team-01,5,Cable Fault Locator|Track Circuit Meter,22:00:00,23:59:00,,TASK-0013|TASK-0121,False,Pending,67.68,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 9.18, ""defect_severity"": 7.0, ""operational_impact"": 3.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0011 received a priority score of 67.7/100 (High) because it has high safety criticality, it is 48 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0012,TDMS,Traction Distribution,ASSET-SEC-07-0012,Contact Wire,COR-03,SEC-07,9.11,11.35,Insulator degradation,1,1,0.181,2,4,2026-06-02,2026-07-16,43,90,105,Power,TRD-Team-02,8,Tower Wagon,01:00:00,05:00:00,,TASK-0040|TASK-0071,True,Pending,39.9,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 16.0, ""failure_probability"": 2.9, ""defect_severity"": 0.0, ""operational_impact"": 9.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0012 received a priority score of 39.9/100 (Low) because it is 43 days overdue, it can materially affect railway operations, and it can potentially be bundled with 2 cross-department tasks."
TASK-0013,TMS,Engineering,ASSET-SEC-15-0013,Ballast,COR-05,SEC-15,48.85,51.31,Damaged sleeper,1,5,0.609,4,1,2026-06-18,2026-06-27,62,60,75,Track Possession,ENG-Team-02,4,Ultrasonic Rail Tester|Rail Grinder,01:00:00,05:00:00,,TASK-0011|TASK-0017,False,Pending,63.74,Medium,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 9.74, ""defect_severity"": 0.0, ""operational_impact"": 0.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0013 received a priority score of 63.7/100 (Medium) because it is safety-critical, it is 62 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0014,SMMS,Signal & Telecommunication,ASSET-SEC-05-0014,Communication Cable,COR-02,SEC-05,32.21,33.66,Communication link degradation,5,4,0.759,1,1,2026-07-22,2026-08-21,7,60,75,Track Possession,SNT-Team-02,3,Axle Counter Tester,00:00:00,04:00:00,,TASK-0099,True,Pending,62.11,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 11.47, ""failure_probability"": 12.14, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0014 received a priority score of 62.1/100 (Medium) because it has high safety criticality, it is 7 days overdue, the defect severity is very high, its estimated failure probability is 76%, and it can potentially be bundled with 1 cross-department task."
TASK-0015,TDMS,Traction Distribution,ASSET-SEC-09-0015,Sectioning Equipment,COR-03,SEC-09,41.18,41.9,Sectioning equipment fault,2,4,0.45,4,5,2026-06-12,2026-06-19,70,150,165,Power and Track,TRD-Team-03,6,OHE Inspection Vehicle,22:00:00,23:59:00,,,False,Pending,67.2,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 7.2, ""defect_severity"": 3.5, ""operational_impact"": 12.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0015 received a priority score of 67.2/100 (High) because it has high safety criticality, it is 70 days overdue, and it can materially affect railway operations."
TASK-0016,TMS,Engineering,ASSET-SEC-04-0016,Bridge Component,COR-02,SEC-04,10.38,11.46,Insufficient ballast,2,3,0.454,5,2,2026-07-25,2026-08-22,6,60,75,Power and Track,ENG-Team-02,6,Rail Grinder,14:00:00,17:00:00,,TASK-0123|TASK-0197,False,Pending,53.96,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 11.2, ""failure_probability"": 7.26, ""defect_severity"": 3.5, ""operational_impact"": 3.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0016 received a priority score of 54.0/100 (Medium) because it is 6 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0017,SMMS,Signal & Telecommunication,ASSET-SEC-15-0017,Signal,COR-05,SEC-15,48.69,49.57,Intermittent signal failure,4,5,0.876,3,1,2026-07-22,2026-08-04,24,120,165,Signalling,SNT-Team-03,3,Signal Tester|Track Circuit Meter,22:00:00,23:59:00,,TASK-0013|TASK-0121,False,Pending,76.52,High,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 14.02, ""defect_severity"": 10.5, ""operational_impact"": 0.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0017 received a priority score of 76.5/100 (High) because it is safety-critical, it is 24 days overdue, the defect severity is high, its estimated failure probability is 88%, and it can potentially be bundled with 2 cross-department tasks."
TASK-0018,TDMS,Traction Distribution,ASSET-SEC-10-0018,Insulator,COR-04,SEC-10,2.95,4.11,Feeder voltage anomaly,3,5,0.722,3,2,2026-06-01,2026-07-14,45,45,60,Power and Track,TRD-Team-02,4,OHE Inspection Vehicle,14:00:00,17:00:00,,TASK-0035|TASK-0041,False,Pending,73.55,High,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 11.55, ""defect_severity"": 7.0, ""operational_impact"": 3.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0018 received a priority score of 73.5/100 (High) because it is safety-critical, it is 45 days overdue, its estimated failure probability is 72%, and it can potentially be bundled with 2 cross-department tasks."
TASK-0019,TMS,Engineering,ASSET-SEC-09-0019,Points and Crossings,COR-03,SEC-09,54.32,56.09,Track geometry deviation,2,5,0.509,3,3,2026-08-13,2026-08-20,8,120,165,Track Possession,ENG-Team-02,6,Inspection Trolley|Rail Grinder,22:00:00,23:59:00,,,False,Pending,61.37,Medium,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 11.73, ""failure_probability"": 8.14, ""defect_severity"": 3.5, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0019 received a priority score of 61.4/100 (Medium) because it is safety-critical, and it is 8 days overdue."
TASK-0020,SMMS,Signal & Telecommunication,ASSET-SEC-11-0020,Track Circuit,COR-04,SEC-11,16.14,18.52,Track circuit instability,2,2,0.476,2,3,2026-07-06,2026-08-17,11,45,75,Signalling,SNT-Team-03,2,Track Circuit Meter|Axle Counter Tester,00:00:00,04:00:00,,TASK-0001|TASK-0025|TASK-0073,False,Pending,49.15,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 12.53, ""failure_probability"": 7.62, ""defect_severity"": 3.5, ""operational_impact"": 6.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0020 received a priority score of 49.1/100 (Medium) because it is 11 days overdue, and it can potentially be bundled with 3 cross-department tasks."
TASK-0021,TDMS,Traction Distribution,ASSET-SEC-01-0021,Insulator,COR-01,SEC-01,15.03,15.85,Feeder voltage anomaly,3,2,0.416,3,5,2026-06-30,2026-07-25,34,60,90,Power,TRD-Team-03,6,Contact Wire Gauge,10:30:00,13:30:00,,TASK-0077,False,Pending,59.16,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 16.0, ""failure_probability"": 6.66, ""defect_severity"": 7.0, ""operational_impact"": 12.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0021 received a priority score of 59.2/100 (Medium) because it is 34 days overdue, it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0022,TMS,Engineering,ASSET-SEC-02-0022,Ballast,COR-01,SEC-02,33.79,34.65,Damaged sleeper,1,1,0.229,5,2,2026-06-14,2026-07-03,56,120,165,Track Possession,ENG-Team-01,10,Ultrasonic Rail Tester,10:30:00,13:30:00,,TASK-0155,True,Pending,38.66,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 16.0, ""failure_probability"": 3.66, ""defect_severity"": 0.0, ""operational_impact"": 3.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0022 received a priority score of 38.7/100 (Low) because it is 56 days overdue, and it can potentially be bundled with 1 cross-department task."
TASK-0023,SMMS,Signal & Telecommunication,ASSET-SEC-15-0023,Signal,COR-05,SEC-15,66.76,68.88,Intermittent signal failure,3,4,0.537,4,3,2026-06-03,2026-06-18,71,60,105,Signalling,SNT-Team-03,4,Axle Counter Tester|Track Circuit Meter,10:30:00,13:30:00,,,False,Pending,66.09,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 8.59, ""defect_severity"": 7.0, ""operational_impact"": 6.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0023 received a priority score of 66.1/100 (High) because it has high safety criticality, and it is 71 days overdue."
TASK-0024,TDMS,Traction Distribution,ASSET-SEC-04-0024,Insulator,COR-02,SEC-04,6.52,9.35,Feeder voltage anomaly,2,5,0.642,5,5,2026-06-02,2026-07-22,37,120,165,Power and Track,TRD-Team-02,8,Insulation Tester|Tower Wagon,00:00:00,04:00:00,,TASK-0058|TASK-0100|TASK-0109,False,Pending,83.77,Critical,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 10.27, ""defect_severity"": 3.5, ""operational_impact"": 12.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0024 received a priority score of 83.8/100 (Critical) because it is safety-critical, it is 37 days overdue, it can materially affect railway operations, and it can potentially be bundled with 3 cross-department tasks."
TASK-0025,TMS,Engineering,ASSET-SEC-11-0025,Points and Crossings,COR-04,SEC-11,17.92,19.44,Track geometry deviation,1,3,0.369,2,1,2026-08-06,2026-09-20,0,180,210,Track Possession,ENG-Team-01,10,Inspection Trolley|Rail Grinder,00:00:00,04:00:00,,TASK-0020|TASK-0104|TASK-0107,False,Pending,33.3,Low,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 2.4, ""failure_probability"": 5.9, ""defect_severity"": 0.0, ""operational_impact"": 0.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}",TASK-0025 received a priority score of 33.3/100 (Low) because it can potentially be bundled with 3 cross-department tasks.
TASK-0026,SMMS,Signal & Telecommunication,ASSET-SEC-13-0026,Signal,COR-05,SEC-13,1.71,3.07,Intermittent signal failure,2,4,0.544,5,4,2026-06-08,2026-07-17,42,45,60,Signalling,SNT-Team-03,3,Cable Fault Locator|Signal Tester,00:00:00,04:00:00,,,False,Pending,67.7,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 8.7, ""defect_severity"": 3.5, ""operational_impact"": 9.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0026 received a priority score of 67.7/100 (High) because it has high safety criticality, it is 42 days overdue, and it can materially affect railway operations."
TASK-0027,TDMS,Traction Distribution,ASSET-SEC-02-0027,Feeder,COR-01,SEC-02,26.22,28.66,OHE alignment deviation,5,5,0.879,4,4,2026-06-03,2026-07-09,50,120,165,Power,TRD-Team-01,6,Insulation Tester|Contact Wire Gauge,22:00:00,23:59:00,,TASK-0086,False,Pending,89.06,Critical,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 14.06, ""defect_severity"": 14.0, ""operational_impact"": 9.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0027 received a priority score of 89.1/100 (Critical) because it is safety-critical, it is 50 days overdue, the defect severity is very high, its estimated failure probability is 88%, it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0028,TMS,Engineering,ASSET-SEC-09-0028,Points and Crossings,COR-03,SEC-09,49.68,50.55,Track geometry deviation,3,2,0.428,4,2,2026-07-02,2026-07-09,50,120,165,Power and Track,ENG-Team-01,4,Inspection Trolley,00:00:00,04:00:00,,TASK-0138,False,Pending,52.35,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 16.0, ""failure_probability"": 6.85, ""defect_severity"": 7.0, ""operational_impact"": 3.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0028 received a priority score of 52.4/100 (Medium) because it is 50 days overdue, and it can potentially be bundled with 1 cross-department task."
TASK-0029,SMMS,Signal & Telecommunication,ASSET-SEC-06-0029,Communication Cable,COR-02,SEC-06,43.5,44.86,Communication link degradation,4,4,0.846,3,3,2026-08-01,2026-09-26,0,120,165,Signalling,SNT-Team-02,3,Track Circuit Meter|Signal Tester,00:00:00,04:00:00,,TASK-0003,False,Pending,60.94,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 2.4, ""failure_probability"": 13.54, ""defect_severity"": 10.5, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0029 received a priority score of 60.9/100 (Medium) because it has high safety criticality, the defect severity is high, its estimated failure probability is 85%, and it can potentially be bundled with 1 cross-department task."
TASK-0030,TDMS,Traction Distribution,ASSET-SEC-05-0030,Overhead Equipment,COR-02,SEC-05,23.63,23.91,Contact wire wear,4,2,0.67,4,2,2026-07-15,2026-08-29,0,60,105,Power,TRD-Team-01,3,OHE Inspection Vehicle|Tower Wagon,22:00:00,23:59:00,,TASK-0151|TASK-0188,True,Pending,48.12,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 2.4, ""failure_probability"": 10.72, ""defect_severity"": 10.5, ""operational_impact"": 3.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0030 received a priority score of 48.1/100 (Medium) because the defect severity is high, and it can potentially be bundled with 2 cross-department tasks."
TASK-0031,TMS,Engineering,ASSET-SEC-06-0031,Rail,COR-02,SEC-06,37.7,38.82,Rail surface defect,4,3,0.749,1,1,2026-07-10,2026-07-30,29,150,165,Track Possession,ENG-Team-01,6,Inspection Trolley|Tamping Machine,22:00:00,23:59:00,,,False,Pending,55.48,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 11.98, ""defect_severity"": 10.5, ""operational_impact"": 0.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0031 received a priority score of 55.5/100 (Medium) because it is 29 days overdue, the defect severity is high, and its estimated failure probability is 75%."
TASK-0032,SMMS,Signal & Telecommunication,ASSET-SEC-10-0032,Communication Cable,COR-04,SEC-10,2.13,2.68,Communication link degradation,5,4,0.836,3,1,2026-06-03,2026-06-13,76,60,90,Track Possession,SNT-Team-01,4,Cable Fault Locator,01:00:00,05:00:00,,TASK-0166,False,Pending,71.88,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 13.38, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0032 received a priority score of 71.9/100 (High) because it has high safety criticality, it is 76 days overdue, the defect severity is very high, its estimated failure probability is 84%, and it can potentially be bundled with 1 cross-department task."
TASK-0033,TDMS,Traction Distribution,ASSET-SEC-15-0033,Overhead Equipment,COR-05,SEC-15,70.48,71.2,Contact wire wear,5,4,0.745,5,4,2026-08-02,2026-08-09,19,90,135,Power and Track,TRD-Team-02,3,Contact Wire Gauge,22:00:00,23:59:00,,,False,Pending,80.09,Critical,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 14.67, ""failure_probability"": 11.92, ""defect_severity"": 14.0, ""operational_impact"": 9.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0033 received a priority score of 80.1/100 (Critical) because it has high safety criticality, it is 19 days overdue, the defect severity is very high, its estimated failure probability is 74%, and it can materially affect railway operations."
TASK-0034,TMS,Engineering,ASSET-SEC-06-0034,Ballast,COR-02,SEC-06,34.22,35.6,Damaged sleeper,4,3,0.699,5,5,2026-06-26,2026-07-05,54,150,195,Track Possession,ENG-Team-02,10,Tamping Machine,01:00:00,05:00:00,,,False,Pending,74.68,High,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 11.18, ""defect_severity"": 10.5, ""operational_impact"": 12.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0034 received a priority score of 74.7/100 (High) because it is 54 days overdue, the defect severity is high, and it can materially affect railway operations."
TASK-0035,SMMS,Signal & Telecommunication,ASSET-SEC-10-0035,Axle Counter,COR-04,SEC-10,3.76,6.34,Axle counter mismatch,4,2,0.648,3,2,2026-08-16,2026-09-05,0,120,165,Signalling,SNT-Team-01,4,Track Circuit Meter,14:00:00,17:00:00,,TASK-0018|TASK-0054,False,Pending,48.97,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 5.6, ""failure_probability"": 10.37, ""defect_severity"": 10.5, ""operational_impact"": 3.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0035 received a priority score of 49.0/100 (Medium) because the defect severity is high, and it can potentially be bundled with 2 cross-department tasks."
TASK-0036,TDMS,Traction Distribution,ASSET-SEC-06-0036,Feeder,COR-02,SEC-06,38.89,40.76,OHE alignment deviation,1,5,0.637,4,4,2026-07-23,2026-08-30,0,45,60,Power,TRD-Team-01,6,Tower Wagon,14:00:00,17:00:00,,TASK-0091|TASK-0178,True,Pending,59.59,Medium,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 2.4, ""failure_probability"": 10.19, ""defect_severity"": 0.0, ""operational_impact"": 9.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0036 received a priority score of 59.6/100 (Medium) because it is safety-critical, it can materially affect railway operations, and it can potentially be bundled with 2 cross-department tasks."
TASK-0037,TMS,Engineering,ASSET-SEC-12-0037,Ballast,COR-04,SEC-12,35.26,37.32,Damaged sleeper,5,5,0.886,2,1,2026-07-11,2026-08-13,15,180,210,Power and Track,ENG-Team-01,8,Tamping Machine|Inspection Trolley,10:30:00,13:30:00,,TASK-0128|TASK-0141|TASK-0150,True,Pending,77.78,High,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 13.6, ""failure_probability"": 14.18, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0037 received a priority score of 77.8/100 (High) because it is safety-critical, it is 15 days overdue, the defect severity is very high, its estimated failure probability is 89%, and it can potentially be bundled with 3 cross-department tasks."
TASK-0038,SMMS,Signal & Telecommunication,ASSET-SEC-09-0038,Signal,COR-03,SEC-09,59.47,60.59,Intermittent signal failure,4,3,0.721,2,3,2026-08-03,2026-08-19,9,120,165,Signalling,SNT-Team-02,2,Axle Counter Tester,10:30:00,13:30:00,,TASK-0165,False,Pending,61.04,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 12.0, ""failure_probability"": 11.54, ""defect_severity"": 10.5, ""operational_impact"": 6.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0038 received a priority score of 61.0/100 (Medium) because it is 9 days overdue, the defect severity is high, its estimated failure probability is 72%, and it can potentially be bundled with 1 cross-department task."
