task_id,source_system,department,asset_id,asset_type,corridor_id,section_id,start_km,end_km,defect_type,defect_severity,safety_criticality,failure_probability,asset_importance,operational_impact,detection_date,due_date,overdue_days,estimated_duration_minutes,minimum_block_minutes,disconnection_type,required_team,required_personnel,required_equipment,preferred_start_time,preferred_end_time,dependency_task_ids,compatible_task_ids,weather_sensitive,status,priority_score,priority_level,synthetic_data
TASK-0017,SMMS,Signal & Telecommunication,ASSET-SEC-15-0017,Signal,COR-05,SEC-15,48.69,49.57,Intermittent signal failure,4,5,0.876,3,1,2026-07-22,2026-08-04,24,120,165,Signalling,SNT-Team-03,3,Signal Tester|Track Circuit Meter,22:00:00,23:59:00,,TASK-0013|TASK-0121,False,Pending,,,True
TASK-0018,TDMS,Traction Distribution,ASSET-SEC-10-0018,Insulator,COR-04,SEC-10,2.95,4.11,Feeder voltage anomaly,3,5,0.722,3,2,2026-06-01,2026-07-14,45,45,60,Power and Track,TRD-Team-02,4,OHE Inspection Vehicle,14:00:00,17:00:00,,TASK-0035|TASK-0041,False,Pending,,,True
TASK-0019,TMS,Engineering,ASSET-SEC-09-0019,Points and Crossings,COR-03,SEC-09,54.32,56.09,Track geometry deviation,2,5,0.509,3,3,2026-08-13,2026-08-20,8,120,165,Track Possession,ENG-Team-02,6,Inspection Trolley|Rail Grinder,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0020,SMMS,Signal & Telecommunication,ASSET-SEC-11-0020,Track Circuit,COR-04,SEC-11,16.14,18.52,Track circuit instability,2,2,0.476,2,3,2026-07-06,2026-08-17,11,45,75,Signalling,SNT-Team-03,2,Track Circuit Meter|Axle Counter Tester,00:00:00,04:00:00,,TASK-0001|TASK-0025|TASK-0073,False,Pending,,,True
TASK-0021,TDMS,Traction Distribution,ASSET-SEC-01-0021,Insulator,COR-01,SEC-01,15.03,15.85,Feeder voltage anomaly,3,2,0.416,3,5,2026-06-30,2026-07-25,34,60,90,Power,TRD-Team-03,6,Contact Wire Gauge,10:30:00,13:30:00,,TASK-0077,False,Pending,,,True
TASK-0022,TMS,Engineering,ASSET-SEC-02-0022,Ballast,COR-01,SEC-02,33.79,34.65,Damaged sleeper,1,1,0.229,5,2,2026-06-14,2026-07-03,56,120,165,Track Possession,ENG-Team-01,10,Ultrasonic Rail Tester,10:30:00,13:30:00,,TASK-0155,True,Pending,,,True
TASK-0023,SMMS,Signal & Telecommunication,ASSET-SEC-15-0023,Signal,COR-05,SEC-15,66.76,68.88,Intermittent signal failure,3,4,0.537,4,3,2026-06-03,2026-06-18,71,60,105,Signalling,SNT-Team-03,4,Axle Counter Tester|Track Circuit Meter,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0024,TDMS,Traction Distribution,ASSET-SEC-04-0024,Insulator,COR-02,SEC-04,6.52,9.35,Feeder voltage anomaly,2,5,0.642,5,5,2026-06-02,2026-07-22,37,120,165,Power and Track,TRD-Team-02,8,Insulation Tester|Tower Wagon,00:00:00,04:00:00,,TASK-0058|TASK-0100|TASK-0109,False,Pending,,,True
TASK-0025,TMS,Engineering,ASSET-SEC-11-0025,Points and Crossings,COR-04,SEC-11,17.92,19.44,Track geometry deviation,1,3,0.369,2,1,2026-08-06,2026-09-20,0,180,210,Track Possession,ENG-Team-01,10,Inspection Trolley|Rail Grinder,00:00:00,04:00:00,,TASK-0020|TASK-0104|TASK-0107,False,Pending,,,True
TASK-0026,SMMS,Signal & Telecommunication,ASSET-SEC-13-0026,Signal,COR-05,SEC-13,1.71,3.07,Intermittent signal failure,2,4,0.544,5,4,2026-06-08,2026-07-17,42,45,60,Signalling,SNT-Team-03,3,Cable Fault Locator|Signal Tester,00:00:00,04:00:00,,,False,Pending,,,True
TASK-0027,TDMS,Traction Distribution,ASSET-SEC-02-0027,Feeder,COR-01,SEC-02,26.22,28.66,OHE alignment deviation,5,5,0.879,4,4,2026-06-03,2026-07-09,50,120,165,Power,TRD-Team-01,6,Insulation Tester|Contact Wire Gauge,22:00:00,23:59:00,,TASK-0086,False,Pending,,,True
TASK-0028,TMS,Engineering,ASSET-SEC-09-0028,Points and Crossings,COR-03,SEC-09,49.68,50.55,Track geometry deviation,3,2,0.428,4,2,2026-07-02,2026-07-09,50,120,165,Power and Track,ENG-Team-01,4,Inspection Trolley,00:00:00,04:00:00,,TASK-0138,False,Pending,,,True
TASK-0029,SMMS,Signal & Telecommunication,ASSET-SEC-06-0029,Communication Cable,COR-02,SEC-06,43.5,44.86,Communication link degradation,4,4,0.846,3,3,2026-08-01,2026-09-26,0,120,165,Signalling,SNT-Team-02,3,Track Circuit Meter|Signal Tester,00:00:00,04:00:00,,TASK-0003,False,Pending,,,True
TASK-0030,TDMS,Traction Distribution,ASSET-SEC-05-0030,Overhead Equipment,COR-02,SEC-05,23.63,23.91,Contact wire wear,4,2,0.67,4,2,2026-07-15,2026-08-29,0,60,105,Power,TRD-Team-01,3,OHE Inspection Vehicle|Tower Wagon,22:00:00,23:59:00,,TASK-0151|TASK-0188,True,Pending,,,True
TASK-0031,TMS,Engineering,ASSET-SEC-06-0031,Rail,COR-02,SEC-06,37.7,38.82,Rail surface defect,4,3,0.749,1,1,2026-07-10,2026-07-30,29,150,165,Track Possession,ENG-Team-01,6,Inspection Trolley|Tamping Machine,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0032,SMMS,Signal & Telecommunication,ASSET-SEC-10-0032,Communication Cable,COR-04,SEC-10,2.13,2.68,Communication link degradation,5,4,0.836,3,1,2026-06-03,2026-06-13,76,60,90,Track Possession,SNT-Team-01,4,Cable Fault Locator,01:00:00,05:00:00,,TASK-0166,False,Pending,,,True
TASK-0033,TDMS,Traction Distribution,ASSET-SEC-15-0033,Overhead Equipment,COR-05,SEC-15,70.48,71.2,Contact wire wear,5,4,0.745,5,4,2026-08-02,2026-08-09,19,90,135,Power and Track,TRD-Team-02,3,Contact Wire Gauge,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0034,TMS,Engineering,ASSET-SEC-06-0034,Ballast,COR-02,SEC-06,34.22,35.6,Damaged sleeper,4,3,0.699,5,5,2026-06-26,2026-07-05,54,150,195,Track Possession,ENG-Team-02,10,Tamping Machine,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0035,SMMS,Signal & Telecommunication,ASSET-SEC-10-0035,Axle Counter,COR-04,SEC-10,3.76,6.34,Axle counter mismatch,4,2,0.648,3,2,2026-08-16,2026-09-05,0,120,165,Signalling,SNT-Team-01,4,Track Circuit Meter,14:00:00,17:00:00,,TASK-0018|TASK-0054,False,Pending,,,True
TASK-0036,TDMS,Traction Distribution,ASSET-SEC-06-0036,Feeder,COR-02,SEC-06,38.89,40.76,OHE alignment deviation,1,5,0.637,4,4,2026-07-23,2026-08-30,0,45,60,Power,TRD-Team-01,6,Tower Wagon,14:00:00,17:00:00,,TASK-0091|TASK-0178,True,Pending,,,True
TASK-0037,TMS,Engineering,ASSET-SEC-12-0037,Ballast,COR-04,SEC-12,35.26,37.32,Damaged sleeper,5,5,0.886,2,1,2026-07-11,2026-08-13,15,180,210,Power and Track,ENG-Team-01,8,Tamping Machine|Inspection Trolley,10:30:00,13:30:00,,TASK-0128|TASK-0141|TASK-0150,True,Pending,,,True
TASK-0038,SMMS,Signal & Telecommunication,ASSET-SEC-09-0038,Signal,COR-03,SEC-09,59.47,60.59,Intermittent signal failure,4,3,0.721,2,3,2026-08-03,2026-08-19,9,120,165,Signalling,SNT-Team-02,2,Axle Counter Tester,10:30:00,13:30:00,,TASK-0165,False,Pending,,,True
TASK-0039,TDMS,Traction Distribution,ASSET-SEC-03-0039,Feeder,COR-01,SEC-03,41.44,44.37,OHE alignment deviation,2,4,0.446,2,1,2026-06-18,2026-07-09,50,45,90,Power,TRD-Team-02,3,Tower Wagon|Insulation Tester,10:30:00,13:30:00,,TASK-0095|TASK-0145,False,Pending,,,True
TASK-0040,TMS,Engineering,ASSET-SEC-07-0040,Rail,COR-03,SEC-07,9.59,11.41,Rail surface defect,2,2,0.463,4,4,2026-06-01,2026-06-07,82,120,135,Track Possession,ENG-Team-02,10,Inspection Trolley|Tamping Machine,01:00:00,05:00:00,,TASK-0012|TASK-0071|TASK-0120,False,Pending,,,True
TASK-0041,SMMS,Signal & Telecommunication,ASSET-SEC-10-0041,Track Circuit,COR-04,SEC-10,0.84,3.73,Track circuit instability,2,2,0.326,1,4,2026-08-15,2026-10-05,0,30,45,Signalling,SNT-Team-03,5,Cable Fault Locator,01:00:00,05:00:00,,TASK-0018|TASK-0166,False,Pending,,,True
TASK-0042,TDMS,Traction Distribution,ASSET-SEC-04-0042,Feeder,COR-02,SEC-04,4.47,5.46,OHE alignment deviation,2,3,0.537,2,3,2026-06-30,2026-07-07,52,150,195,Power,TRD-Team-01,3,Insulation Tester,01:00:00,05:00:00,,,True,Pending,,,True
TASK-0043,TMS,Engineering,ASSET-SEC-05-0043,Bridge Component,COR-02,SEC-05,26.41,28.92,Insufficient ballast,1,4,0.492,5,1,2026-07-22,2026-08-22,6,150,180,Track Possession,ENG-Team-03,8,Ultrasonic Rail Tester|Rail Grinder,22:00:00,23:59:00,,TASK-0047|TASK-0096,False,Pending,,,True
TASK-0044,SMMS,Signal & Telecommunication,ASSET-SEC-01-0044,Point Machine,COR-01,SEC-01,1.6,4.49,Point machine response delay,1,3,0.384,4,4,2026-06-15,2026-07-25,34,45,75,Signalling,SNT-Team-02,4,Cable Fault Locator|Axle Counter Tester,22:00:00,23:59:00,,TASK-0153,False,Pending,,,True
TASK-0045,TDMS,Traction Distribution,ASSET-SEC-06-0045,Feeder,COR-02,SEC-06,45.73,48.33,OHE alignment deviation,4,3,0.706,3,3,2026-07-16,2026-08-14,14,120,165,Power,TRD-Team-02,3,Contact Wire Gauge,00:00:00,04:00:00,,TASK-0065|TASK-0080|TASK-0175,False,Pending,,,True
TASK-0046,TMS,Engineering,ASSET-SEC-09-0046,Bridge Component,COR-03,SEC-09,49.2,49.55,Insufficient ballast,5,4,0.876,4,4,2026-06-22,2026-07-18,41,60,75,Track Possession,ENG-Team-01,6,Tamping Machine,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0047,SMMS,Signal & Telecommunication,ASSET-SEC-05-0047,Communication Cable,COR-02,SEC-05,25.64,27.39,Communication link degradation,1,4,0.557,4,2,2026-08-16,2026-09-02,0,45,75,Signalling,SNT-Team-03,3,Track Circuit Meter|Cable Fault Locator,10:30:00,13:30:00,,TASK-0043|TASK-0067|TASK-0096,False,Pending,,,True
TASK-0048,TDMS,Traction Distribution,ASSET-SEC-15-0048,Insulator,COR-05,SEC-15,61.68,63.97,Feeder voltage anomaly,1,3,0.433,3,5,2026-08-10,2026-10-07,0,120,150,Power and Track,TRD-Team-03,8,Contact Wire Gauge,22:00:00,23:59:00,,TASK-0074,False,Pending,,,True
TASK-0049,TMS,Engineering,ASSET-SEC-08-0049,Bridge Component,COR-03,SEC-08,30.23,31.4,Insufficient ballast,5,4,0.834,1,3,2026-06-18,2026-08-08,20,120,135,Power and Track,ENG-Team-02,10,Inspection Trolley|Ultrasonic Rail Tester,01:00:00,05:00:00,,TASK-0105|TASK-0147,False,Pending,,,True
TASK-0050,SMMS,Signal & Telecommunication,ASSET-SEC-11-0050,Point Machine,COR-04,SEC-11,27.18,29.21,Point machine response delay,1,2,0.286,1,2,2026-08-08,2026-09-11,0,120,150,Signalling,SNT-Team-03,3,Track Circuit Meter,00:00:00,04:00:00,,TASK-0159,True,Pending,,,True
TASK-0051,TDMS,Traction Distribution,ASSET-SEC-13-0051,Feeder,COR-05,SEC-13,22.78,23.33,OHE alignment deviation,1,3,0.453,2,3,2026-05-31,2026-06-28,61,150,180,Power,TRD-Team-03,3,OHE Inspection Vehicle,10:30:00,13:30:00,,TASK-0169,False,Pending,,,True
TASK-0052,TMS,Engineering,ASSET-SEC-02-0052,Sleepers,COR-01,SEC-02,31.69,33.86,Worn crossing,2,3,0.566,2,2,2026-08-15,2026-09-15,0,60,90,Power and Track,ENG-Team-02,6,Tamping Machine|Inspection Trolley,00:00:00,04:00:00,,,True,Pending,,,True
TASK-0053,SMMS,Signal & Telecommunication,ASSET-SEC-02-0053,Point Machine,COR-01,SEC-02,28.97,30.24,Point machine response delay,4,5,0.736,3,5,2026-06-01,2026-06-19,70,90,135,Signalling,SNT-Team-01,5,Signal Tester|Cable Fault Locator,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0054,TDMS,Traction Distribution,ASSET-SEC-10-0054,Contact Wire,COR-04,SEC-10,4.19,7.08,Insulator degradation,4,3,0.59,3,3,2026-05-31,2026-06-19,70,120,150,Power,TRD-Team-03,8,Contact Wire Gauge|Tower Wagon,00:00:00,04:00:00,,TASK-0035|TASK-0070|TASK-0170,True,Pending,,,True
TASK-0055,TMS,Engineering,ASSET-SEC-10-0055,Points and Crossings,COR-04,SEC-10,12.11,14.01,Track geometry deviation,4,3,0.734,2,1,2026-08-21,2026-10-01,0,90,135,Power and Track,ENG-Team-03,4,Tamping Machine,10:30:00,13:30:00,,TASK-0164,False,Pending,,,True
TASK-0056,SMMS,Signal & Telecommunication,ASSET-SEC-08-0056,Communication Cable,COR-03,SEC-08,20.63,21.85,Communication link degradation,3,3,0.627,3,4,2026-08-11,2026-08-19,9,45,60,Signalling,SNT-Team-03,4,Axle Counter Tester|Signal Tester,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0057,TDMS,Traction Distribution,ASSET-SEC-08-0057,Sectioning Equipment,COR-03,SEC-08,38.29,38.63,Sectioning equipment fault,4,5,0.791,3,3,2026-07-30,2026-09-26,0,120,135,Power and Track,TRD-Team-02,6,Tower Wagon,10:30:00,13:30:00,,TASK-0137,True,Pending,,,True
TASK-0058,TMS,Engineering,ASSET-SEC-04-0058,Ballast,COR-02,SEC-04,7.31,9.24,Damaged sleeper,5,4,0.882,1,1,2026-06-17,2026-07-10,49,150,195,Track Possession,ENG-Team-02,4,Inspection Trolley,10:30:00,13:30:00,,TASK-0024|TASK-0123|TASK-0135,True,Pending,,,True
TASK-0059,SMMS,Signal & Telecommunication,ASSET-SEC-15-0059,Point Machine,COR-05,SEC-15,60.17,61.46,Point machine response delay,5,4,0.867,3,2,2026-07-11,2026-08-25,3,45,75,Signalling,SNT-Team-02,3,Axle Counter Tester|Signal Tester,00:00:00,04:00:00,,TASK-0171,False,Pending,,,True
TASK-0060,TDMS,Traction Distribution,ASSET-SEC-02-0060,Contact Wire,COR-01,SEC-02,35.66,36.1,Insulator degradation,1,4,0.389,3,2,2026-06-06,2026-07-01,58,45,75,Power,TRD-Team-03,4,OHE Inspection Vehicle,00:00:00,04:00:00,,TASK-0116,True,Pending,,,True
TASK-0061,TMS,Engineering,ASSET-SEC-13-0061,Sleepers,COR-05,SEC-13,13.02,14.86,Worn crossing,2,5,0.501,1,2,2026-07-29,2026-08-22,6,90,105,Track Possession,ENG-Team-02,6,Rail Grinder,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0062,SMMS,Signal & Telecommunication,ASSET-SEC-01-0062,Signal,COR-01,SEC-01,3.05,3.4,Intermittent signal failure,1,1,0.199,1,5,2026-07-05,2026-08-10,18,60,105,Signalling,SNT-Team-02,2,Cable Fault Locator|Axle Counter Tester,22:00:00,23:59:00,,,True,Pending,,,True
TASK-0063,TDMS,Traction Distribution,ASSET-SEC-08-0063,Overhead Equipment,COR-03,SEC-08,36.1,37.49,Contact wire wear,4,1,0.605,5,5,2026-08-14,2026-09-17,0,90,135,Power and Track,TRD-Team-03,6,Contact Wire Gauge,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0064,TMS,Engineering,ASSET-SEC-10-0064,Ballast,COR-04,SEC-10,7.43,8.9,Damaged sleeper,1,1,0.293,3,4,2026-06-11,2026-07-11,48,180,225,Track Possession,ENG-Team-02,4,Inspection Trolley|Ultrasonic Rail Tester,01:00:00,05:00:00,,TASK-0161|TASK-0170|TASK-0186,False,Pending,,,True
TASK-0065,SMMS,Signal & Telecommunication,ASSET-SEC-06-0065,Signal,COR-02,SEC-06,45.64,46.89,Intermittent signal failure,4,1,0.403,1,5,2026-08-08,2026-09-23,0,30,45,Track Possession,SNT-Team-03,4,Cable Fault Locator|Axle Counter Tester,14:00:00,17:00:00,,TASK-0003|TASK-0045|TASK-0175,False,Pending,,,True
TASK-0066,TDMS,Traction Distribution,ASSET-SEC-07-0066,Sectioning Equipment,COR-03,SEC-07,6.9,8.96,Sectioning equipment fault,1,3,0.39,4,2,2026-07-04,2026-08-31,0,90,105,Power,TRD-Team-02,6,Insulation Tester,22:00:00,23:59:00,TASK-0012,TASK-0004,True,Pending,,,True
TASK-0067,TMS,Engineering,ASSET-SEC-05-0067,Sleepers,COR-02,SEC-05,26.05,28.51,Worn crossing,5,5,0.969,3,3,2026-06-17,2026-08-08,20,180,195,Track Possession,ENG-Team-02,4,Inspection Trolley,22:00:00,23:59:00,,TASK-0047|TASK-0096,True,Pending,,,True
TASK-0068,SMMS,Signal & Telecommunication,ASSET-SEC-03-0068,Point Machine,COR-01,SEC-03,46.69,48.01,Point machine response delay,1,1,0.267,3,3,2026-08-09,2026-09-28,0,45,75,Track Possession,SNT-Team-03,2,Cable Fault Locator|Track Circuit Meter,14:00:00,17:00:00,,,False,Pending,,,True
TASK-0069,TDMS,Traction Distribution,ASSET-SEC-03-0069,Feeder,COR-01,SEC-03,39.33,41.26,OHE alignment deviation,3,4,0.685,1,3,2026-06-02,2026-06-10,79,120,165,Power,TRD-Team-01,6,Insulation Tester|Contact Wire Gauge,14:00:00,17:00:00,,TASK-0079|TASK-0083,False,Pending,,,True
TASK-0070,TMS,Engineering,ASSET-SEC-10-0070,Points and Crossings,COR-04,SEC-10,6.81,8.88,Track geometry deviation,4,5,0.714,1,1,2026-08-22,2026-09-08,0,90,120,Track Possession,ENG-Team-03,10,Tamping Machine|Inspection Trolley,01:00:00,05:00:00,,TASK-0054|TASK-0161|TASK-0170,True,Pending,,,True
TASK-0071,SMMS,Signal & Telecommunication,ASSET-SEC-07-0071,Point Machine,COR-03,SEC-07,10.39,11.23,Point machine response delay,3,1,0.379,5,4,2026-06-17,2026-08-12,16,30,60,Track Possession,SNT-Team-02,5,Axle Counter Tester,00:00:00,04:00:00,,TASK-0012|TASK-0040|TASK-0120,False,Pending,,,True
TASK-0072,TDMS,Traction Distribution,ASSET-SEC-07-0072,Sectioning Equipment,COR-03,SEC-07,0.41,1.52,Sectioning equipment fault,3,1,0.389,3,3,2026-06-09,2026-07-11,48,45,60,Power,TRD-Team-02,4,OHE Inspection Vehicle|Insulation Tester,14:00:00,17:00:00,,,True,Pending,,,True
TASK-0073,TMS,Engineering,ASSET-SEC-11-0073,Bridge Component,COR-04,SEC-11,16.32,17.95,Insufficient ballast,2,2,0.286,2,4,2026-07-14,2026-08-08,20,120,135,Track Possession,ENG-Team-03,10,Rail Grinder,01:00:00,05:00:00,TASK-0001,TASK-0020,False,Pending,,,True
TASK-0074,SMMS,Signal & Telecommunication,ASSET-SEC-15-0074,Axle Counter,COR-05,SEC-15,60.83,62.81,Axle counter mismatch,3,2,0.47,5,1,2026-06-09,2026-07-02,57,90,120,Signalling,SNT-Team-02,5,Axle Counter Tester,10:30:00,13:30:00,,TASK-0048|TASK-0171,True,Pending,,,True
TASK-0075,TDMS,Traction Distribution,ASSET-SEC-06-0075,Feeder,COR-02,SEC-06,48.55,48.96,OHE alignment deviation,5,5,0.896,5,4,2026-08-16,2026-09-27,0,150,195,Power and Track,TRD-Team-01,3,Contact Wire Gauge,00:00:00,04:00:00,,TASK-0175,False,Pending,,,True
TASK-0076,TMS,Engineering,ASSET-SEC-13-0076,Bridge Component,COR-05,SEC-13,21.13,22.25,Insufficient ballast,2,1,0.242,3,3,2026-08-17,2026-09-21,0,150,180,Track Possession,ENG-Team-02,8,Tamping Machine,22:00:00,23:59:00,,TASK-0149|TASK-0173|TASK-0194,False,Pending,,,True
TASK-0077,SMMS,Signal & Telecommunication,ASSET-SEC-01-0077,Track Circuit,COR-01,SEC-01,13.81,15.82,Track circuit instability,1,5,0.57,2,3,2026-08-19,2026-09-12,0,60,90,Signalling,SNT-Team-03,5,Signal Tester|Axle Counter Tester,22:00:00,23:59:00,,TASK-0021,False,Pending,,,True
TASK-0078,TDMS,Traction Distribution,ASSET-SEC-12-0078,Sectioning Equipment,COR-04,SEC-12,47.42,48.05,Sectioning equipment fault,3,2,0.528,3,2,2026-07-10,2026-08-23,5,150,165,Power,TRD-Team-02,8,OHE Inspection Vehicle|Insulation Tester,14:00:00,17:00:00,,TASK-0130|TASK-0152,True,Pending,,,True
TASK-0079,TMS,Engineering,ASSET-SEC-03-0079,Bridge Component,COR-01,SEC-03,39.29,40.32,Insufficient ballast,5,5,0.809,2,5,2026-08-15,2026-09-19,0,120,165,Track Possession,ENG-Team-03,10,Inspection Trolley|Rail Grinder,01:00:00,05:00:00,,TASK-0069|TASK-0083,True,Pending,,,True
TASK-0080,SMMS,Signal & Telecommunication,ASSET-SEC-06-0080,Track Circuit,COR-02,SEC-06,45.84,46.71,Track circuit instability,3,4,0.579,3,4,2026-07-02,2026-08-13,15,45,75,Track Possession,SNT-Team-03,5,Track Circuit Meter|Cable Fault Locator,14:00:00,17:00:00,,TASK-0003|TASK-0045|TASK-0175,False,Pending,,,True
TASK-0081,TDMS,Traction Distribution,ASSET-SEC-14-0081,Overhead Equipment,COR-05,SEC-14,28.49,30.38,Contact wire wear,4,3,0.679,3,4,2026-07-26,2026-08-01,27,45,90,Power and Track,TRD-Team-01,8,OHE Inspection Vehicle|Tower Wagon,22:00:00,23:59:00,,TASK-0124,True,Pending,,,True
TASK-0082,TMS,Engineering,ASSET-SEC-15-0082,Rail,COR-05,SEC-15,52.44,53.9,Rail surface defect,4,1,0.479,3,1,2026-07-14,2026-07-18,41,120,135,Power and Track,ENG-Team-03,8,Inspection Trolley|Rail Grinder,14:00:00,17:00:00,,,False,Pending,,,True
TASK-0083,SMMS,Signal & Telecommunication,ASSET-SEC-03-0083,Axle Counter,COR-01,SEC-03,37.19,39.96,Axle counter mismatch,2,4,0.532,5,5,2026-06-28,2026-08-14,14,30,45,Track Possession,SNT-Team-02,2,Cable Fault Locator,00:00:00,04:00:00,,TASK-0069|TASK-0079|TASK-0172,False,Pending,,,True
